NTAName_left,Population,Weighted Median Income
Allerton,3117.4736842105262,62141.291295245814
Alley Pond Park,4118.636363636364,107518.28937203399
Annadale-Huguenot-Prince's Bay-Woodrow,5090.315789473684,126245.52957111543
Arden Heights-Rossville,4266.533333333334,123022.83652614144
Astoria (Central),3012.8928571428573,99753.77096051493
Astoria (East)-Woodside (North),2732.766666666667,83329.77316028933
Astoria (North)-Ditmars-Steinway,2623.655172413793,100673.46544699419
Astoria Park,2723.5714285714284,108909.12153160242
Auburndale,2970.1388888888887,100111.9514893617
Baisley Park,2532.4,86748.13280879798
Barren Island-Floyd Bennett Field,518.0,126299.33333333333
Bath Beach,3038.217391304348,78147.40998010847
Bay Ridge,2806.4358974358975,95618.53496085005
Bay Terrace-Clearview,4032.153846153846,114641.7081918425
Bayside,3060.3846153846152,107565.61652632902
Bedford Park,5560.333333333333,48778.570327018766
Bedford-Stuyvesant (East),3979.9333333333334,72255.78268201031
Bedford-Stuyvesant (West),4208.190476190476,84855.52517200018
Bellerose,3737.2631578947367,112138.0063373141
Belmont,5178.227272727273,41149.79990519746
Bensonhurst,3503.7735849056603,70545.2338341411
Borough Park,3635.225,54448.75586105399
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2460.5,124180.76146447199
Brighton Beach,3602.0,73998.34024956895
Bronx Park,3870.8947368421054,44775.65204563068
Brooklyn Heights,3988.9473684210525,218063.19581739017
Brooklyn Navy Yard,4164.333333333333,82835.4416339817
Brownsville,3402.8076923076924,50151.79694370034
Bushwick (East),3684.3939393939395,61634.683850803965
Bushwick (West),3805.896551724138,63400.13846028395
Calvary & Mount Zion Cemeteries,3162.230769230769,82116.13955581503
Calvert Vaux Park,2669.3333333333335,68189.76048951049
Cambria Heights,2199.5833333333335,113137.20882742944
Canarsie,2703.478260869565,84824.13632196847
Canarsie Park & Pier,2207.6666666666665,89021.40127837335
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,3024.9736842105262,177207.83581414368
Castle Hill-Unionport,4289.190476190476,63354.10318297381
Central Park,5544.566666666667,169665.59033768796
Chelsea-Hudson Yards,4389.423076923077,191341.7284819277
Chinatown-Two Bridges,5824.615384615385,60939.19940570523
Claremont Park,3958.8333333333335,50542.92337809961
Claremont Village-Claremont (East),3502.9,36832.31413971281
Clinton Hill,4053.8636363636365,120557.33163648595
Co-op City,4228.307692307692,74052.05044753311
College Point,3813.9285714285716,78370.7961606892
Concourse-Concourse Village,5036.551724137931,40505.74961659592
Coney Island-Sea Gate,4011.125,61313.805405798455
Corona,3883.4285714285716,60386.3584902884
Crotona Park,3192.75,37860.23811761021
Crotona Park East,3509.409090909091,43620.26340875827
Crown Heights (North),3824.3636363636365,78454.74286868879
Crown Heights (South),3470.4193548387098,75041.88469367837
Cunningham Park,3266.8571428571427,104873.86391464055
Cypress Hills,2749.206896551724,65014.28659049005
Douglaston-Little Neck,3535.4,117291.94654070261
Downtown Brooklyn-DUMBO-Boerum Hill,3702.1111111111113,153855.7868383405
Dyker Beach Park,1815.3333333333333,100648.95715509854
Dyker Heights,2830.8823529411766,77348.07747532468
East Elmhurst,3232.8333333333335,68789.87451667784
East Flatbush-Erasmus,3522.5714285714284,68782.45915118826
East Flatbush-Farragut,2589.777777777778,83326.41869744293
East Flatbush-Remsen Village,3224.4347826086955,58749.941452495885
East Flatbush-Rugby,2632.205882352941,73394.19892731437
East Flushing,3266.3333333333335,66098.00818677642
East Harlem (North),5263.958333333333,52594.40406063245
East Harlem (South),5396.952380952381,74183.51004094021
East Midtown-Turtle Bay,3685.55,199583.9580523938
East New York (North),3354.5625,56550.236133623985
East New York-City Line,4065.8888888888887,64322.52865302107
East New York-New Lots,3524.054054054054,58151.324541759335
East Village,5332.851851851852,119975.84295109975
