NTAName_x,Total Population_x,Below Poverty Line %,Total Population_y,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher"
Allerton,36057,24.602712372077544,29883,209.78552278820376,55.31724754244861,41.8230563002681,108.4450402144772,68.40929401251117,105.04915102770332,52.502234137622885,9.249329758713138,3.842716711349419
Alley Pond Park,42,7.142857142857142,39,0.0,0.0,0.0,0.4517221908526256,0.0,0.0,0.3952569169960474,0.0,0.0
Annadale-Huguenot-Prince's Bay-Woodrow,44139,5.965246154194704,35230,494.1573033707865,62.47191011235955,107.41573033707866,240.2996254681648,123.44569288389513,409.2883895131086,210.7116104868914,56.47940074906367,20.973782771535582
Arden Heights-Rossville,31583,4.344109172656176,5547,36.51933701657459,3.4530386740331496,4.640883977900553,11.32596685082873,5.359116022099448,18.287292817679557,10.773480662983426,1.2154696132596685,1.2154696132596685
Astoria (Central),47297,10.717381652113241,46478,87.65143774631441,9.12275580207269,10.421836228287841,34.068019267260254,31.353087140563424,214.0563421398336,88.42504743833017,19.296453072544153,11.560356152386513
Astoria (East)-Woodside (North),36711,9.849908746697174,35517,137.05281090289608,12.60647359454855,14.65076660988075,46.08177172061329,36.243611584327084,173.82879045996594,66.22657580919932,11.605621805792165,6.260647359454855
Astoria (North)-Ditmars-Steinway,48500,9.385567010309279,47234,150.28656336234346,18.67968584164721,17.724474633835705,68.7964338781575,52.706431755465935,240.03396306516663,107.91763956697092,25.281256633411164,7.9176395669709185
Auburndale,35153,8.499985776462891,33671,278.3796296296296,25.972222222222225,42.87037037037037,106.52777777777777,114.9537037037037,255.3240740740741,137.91666666666666,22.175925925925927,13.564814814814815
Baisley Park,44277,11.41450414436389,36797,158.80569162584555,43.200373221366924,24.329367856309776,101.46955913226033,50.61814788896665,82.8084907860975,29.157919290879402,2.332633543270352,2.589223233030091
Barren Island-Floyd Bennett Field,20,0.0,8,0.0,0.0,0.0,0.0,0.0,0.044792833146696534,0.044792833146696534,0.0,0.0
Bath Beach,33565,15.292715626396545,33580,70.15631157231053,8.958360698804677,9.733350847234993,25.167476684618418,24.615788782345987,69.06607119401025,27.400499146197294,4.965191120451859,3.6779193484828583
Bay Ridge,85355,11.40179251361959,80127,196.46760343481654,25.40983606557377,41.549570647931304,110.32396565183451,67.85714285714286,328.864168618267,172.65807962529274,50.839188134270096,22.365339578454332
Bay Terrace-Clearview,23682,6.3719280466176835,21990,68.69102346963464,9.629808855552866,18.727316719090247,45.87466731187999,31.018630534720543,111.71062182434068,69.27171546092427,16.694894749576576,10.597628841035567
Bayside,36136,8.982731901704671,33904,87.83958602846054,8.815376085751247,15.653298835705046,54.94363333949362,34.18961374976899,128.38661984845686,60.894474219183145,15.39456662354463,7.2999445573831085
Bedford Park,56793,24.827003327874912,56239,278.43911327057396,51.472821135742485,41.36046158518069,168.0838141512299,75.73641056787123,120.49802611600364,45.97631339204373,7.682963862739143,2.034618888551473
Bedford-Stuyvesant (East),91759,22.237600671323793,86386,663.3645693886658,119.05399375278893,76.88531905399375,314.23471664435516,183.80187416331995,592.2802320392682,290.85229808121375,33.91343150379295,20.615796519410978
Bedford-Stuyvesant (West),88928,26.024424253328537,82014,156.57133410481072,40.73400562076376,30.88113737807902,97.98313770871219,46.453959332121016,237.49380062820302,106.49694164324681,19.375103322863282,8.414613985782774
Bellerose,27927,7.333404948616034,27643,85.41544477028347,18.885630498533722,13.137829912023461,50.08797653958944,26.783968719452588,78.49462365591397,44.868035190615835,7.878787878787878,5.356793743890518
Belmont,32615,39.61060861566764,33728,287.7551020408163,77.48064743138634,50.950035186488385,172.5545390570021,67.90992258972554,116.81914144968333,35.467980295566505,14.356087262491204,7.8817733990147785
Bensonhurst,101868,16.83060431146189,97786,690.9170305676856,72.882096069869,89.21397379912663,219.25764192139735,218.82096069868996,619.6943231441048,233.14410480349346,33.88646288209607,16.026200873362445
Borough Park,84020,34.47631516305641,78757,654.5590433482811,55.60538116591929,65.6203288490284,176.78126557050325,69.20777279521674,217.1400099651221,109.81564524165421,21.923268560039862,10.114598903836573
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,25257,10.123926040305657,21094,183.0681818181818,24.829545454545453,31.988636363636363,107.44318181818183,54.03409090909091,217.38636363636363,133.23863636363635,27.21590909090909,15.113636363636363
Brighton Beach,31037,23.020910526146213,30583,180.83299636069552,20.420541852001616,16.579053780832997,66.35665183987061,69.4298422968055,257.46057420137487,156.44965628790942,29.882733522038013,15.44682571775172
Bronx Park,15,20.0,15,0.0,0.0,0.022558087074216106,0.22558087074216107,0.022558087074216106,0.0,0.0,0.0,0.0
Brooklyn Heights,22884,3.980947386820486,23758,26.764050507551374,6.016340678385739,7.427581084426839,18.04902203515722,11.809853924238672,153.75092844763557,124.33770735330528,64.69423124535776,18.123297846001485
Brownsville,48800,37.170081967213115,47971,425.02472799208704,151.9782393669634,144.21364985163206,169.2878338278932,130.01978239366963,132.73986152324431,38.22947576656775,9.643916913946587,1.7309594460929771
