NTAName,Shape_Leng,Shape_Area,Total Population,Below Poverty Level,Above Poverty Level,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher",Below Poverty Level_WA,Above Poverty Level_WA,Less than 9th grade_WA,"9th to 12th grade, no diploma_WA",High school diploma_WA,Some college_WA,Associate degree_WA,Bachelor degree_WA,Graduate degree_WA,"High school graduate, or higher_WA","Bachelor degree, or higher_WA"
Allerton,17837.9373331,15753915.8367,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,15779633.626540475,31559267.25308095,63118534.5061619,126237069.0123238,252474138.0246476,504948276.0492952,1009896552.0985904,2019793104.1971807,4039586208.3943615,8079172416.788723,16158344833.577446
Alley Pond Park,48184.4022993,26132395.9809,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,26186609.777818132,52373219.555636264,104746439.11127253,209492878.22254506,418985756.4450901,837971512.8901802,1675943025.7803605,3351886051.560721,6703772103.121442,13407544206.242884,26815088412.485767
Astoria (Central),21571.9909055,21084822.0502,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,21112423.43572433,42224846.87144866,84449693.74289732,168899387.48579463,337798774.97158927,675597549.9431785,1351195099.886357,2702390199.772714,5404780399.545428,10809560799.090857,21619121598.181713
Astoria (East)-Woodside (North),24359.8870693,26043273.2608,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,26073662.54248813,52147325.08497626,104294650.16995253,208589300.33990505,417178600.6798101,834357201.3596202,1668714402.7192404,3337428805.438481,6674857610.876962,13349715221.753923,26699430443.507847
Astoria (North)-Ditmars-Steinway,45685.6404607,58301781.0942,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,58353496.12927954,116706992.25855908,233413984.51711816,466827969.0342363,933655938.0684726,1867311876.1369452,3734623752.2738905,7469247504.547781,14938495009.095562,29876990018.191124,59753980036.38225
Astoria Park,8570.89492236,2674946.1493,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,2689546.438841194,5379092.877682388,10758185.755364776,21516371.51072955,43032743.0214591,86065486.0429182,172130972.0858364,344261944.1716728,688523888.3433456,1377047776.6866913,2754095553.3733826
Auburndale,39268.139458,55464872.18,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,55510169.71407683,111020339.42815366,222040678.85630733,444081357.71261466,888162715.4252293,1776325430.8504586,3552650861.7009172,7105301723.4018345,14210603446.803669,28421206893.607338,56842413787.214676
Baisley Park,32461.290616600003,47948908.1029,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,47987398.78813543,95974797.57627086,191949595.15254173,383899190.30508345,767798380.6101669,1535596761.2203338,3071193522.4406676,6142387044.881335,12284774089.76267,24569548179.52534,49139096359.05068
Bay Terrace-Clearview,31201.867962699995,39315519.5955,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,39352750.858081535,78705501.71616307,157411003.43232614,314822006.8646523,629644013.7293046,1259288027.458609,2518576054.917218,5037152109.834436,10074304219.668873,20148608439.337746,40297216878.67549
Bayside,41945.5008443,70410060.9271,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,70458035.82256313,140916071.64512625,281832143.2902525,563664286.580505,1127328573.16101,2254657146.32202,4509314292.64404,9018628585.28808,18037257170.57616,36074514341.15232,72149028682.30464
