NTAName,County Name,Total Population,Male_Pop,Female_Pop,Hsp_Pop,Not_Hsp_Pop,White_Pop,Black_Pop,AmericanIndian_AlaskanNative_Pop,Asian_Pop,NativeHawaiian_Pop,Other_Pop,Two+_Pop,BoroCode,Shape_Leng,Shape_Area,Male_Pop_WA,Female_Pop_WA,Hsp_Pop_WA,Not_Hsp_Pop_WA,White_Pop_WA,Black_Pop_WA,AmericanIndian_AlaskanNative_Pop_WA,Asian_Pop_WA,NativeHawaiian_Pop_WA,Other_Pop_WA,Two+_Pop_WA
Allerton, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,17837.9373331,15753915.8367,73248.22448979592,73250.22448979592,91088.16182289591,15845003.998522894,15918252.223012691,15991502.447502486,16082590.609325383,31927594.607848275,47845846.830860965,63837349.27836345,79919939.88768883
Alley Pond Park, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,48184.4022993,26132395.9809,78663.25301204821,78667.25301204821,126851.6553113482,26259247.63621135,26337910.889223397,26416578.142235443,26543429.797546793,52802677.43375814,79140588.32298154,105557166.465217,132100596.26276378
Annadale-Huguenot-Prince's Bay-Woodrow, Richmond,21443.217391304348,10467.608695652174,10975.608695652174,3954.652173913044,17488.565217391304,12788.608695652174,1949.9565217391305,29.217391304347824,2221.782608695652,0.0,45.73913043478261,453.2608695652174,5.0,67592.5953327,180428305.238,60375.0,60380.0,127972.59533269999,180556277.83333272,180616652.83333272,180677032.83333272,180805005.42866543,361361283.2619981,541977936.0953308,722654968.9286635,903459974.357329
Arden Heights-Rossville, Richmond,21443.217391304348,10467.608695652174,10975.608695652174,3954.652173913044,17488.565217391304,12788.608695652174,1949.9565217391305,29.217391304347824,2221.782608695652,0.0,45.73913043478261,453.2608695652174,5.0,38159.8608236,67773961.1418,60375.0,60380.0,98539.8608236,67872501.0026236,67932876.0026236,67993256.0026236,68091795.8634472,135964296.8660708,203897172.86869442,271890428.87131804,339982224.73476523
Astoria (Central), Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,21571.9909055,21084822.0502,78663.25301204821,78667.25301204821,100239.24391754821,21185061.294117548,21263724.547129594,21342391.800141644,21442631.04405919,42627692.33817674,63891416.88530634,85233808.68544798,106676439.72950716
Astoria (East)-Woodside (North), Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,24359.8870693,26043273.2608,78663.25301204821,78667.25301204821,103027.1400813482,26146300.40088135,26224963.653893396,26303630.906905446,26406658.046986792,52552958.447868146,78777922.10176155,105081553.00866699,131488211.05565378
Astoria (North)-Ditmars-Steinway, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,45685.6404607,58301781.09419999,78663.25301204821,78667.25301204821,124352.8934727482,58426133.98767274,58504797.24068479,58583464.49369684,58707817.387169585,117133951.37484232,175638748.61552712,234222213.10922396,292930030.49639356
Astoria Park, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,8570.89492236,2674946.1493,78663.25301204821,78667.25301204821,87238.1479344082,2762184.297234408,2840847.550246456,2919514.8032585043,3006752.9511929126,5768937.248427321,8609784.798673779,11529299.601932282,14536052.553125195
Auburndale, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,39268.139458,55464872.17999999,78663.25301204821,78667.25301204821,117935.3924700482,55582807.57247005,55661470.8254821,55740138.07849415,55858073.47096419,111440881.04343425,167102351.86891633,222842489.94741046,278700563.41837466
Baisley Park, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,32461.2906166,47948908.1029,78663.25301204821,78667.25301204821,111128.5436286482,48060036.646528654,48138699.8995407,48217367.152552746,48328495.6961814,96388532.34271006,144527232.24225077,192744599.39480352,241073095.09098494
