NTAName_y,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino
Allerton,62155,14.763092269326684,38.1690933955434,0.1094039095808865,4.709194755047864,0.008044405116241654,0.9331509934840319,2.067412114874105,39.24060815702679
Alley Pond Park,90,65.55555555555556,3.3333333333333335,0.0,6.666666666666667,0.0,0.0,0.0,24.444444444444443
Annadale-Huguenot-Prince's Bay-Woodrow,53872,72.77249777249777,7.441713691713692,0.25245025245025243,8.438520938520938,0.0,1.020938520938521,1.522126522126522,8.551752301752302
Arden Heights-Rossville,30539,75.48708209175153,0.5337437375159632,0.06549002914306297,7.881725007367628,0.088411539343135,0.16045057140050428,0.8873898948885033,14.895707128589672
Astoria (Central),129518,48.18944084992047,12.61986750876326,0.17526521410151485,9.288284253926095,0.006948841087725258,0.4138420914467487,2.672987538411649,26.633363702342532
Astoria (East)-Woodside (North),198924,46.6439444209849,14.63925921457441,0.09802738734391023,8.410749834107497,0.01055679556011341,0.6570348474794394,2.706058595242404,26.834368904707322
Astoria (North)-Ditmars-Steinway,120686,51.68950831082313,8.316623303448619,0.08617403841373482,11.388230614984339,0.07125930099597302,0.290008783123146,2.5172762375089075,25.64091941070215
Astoria Park,0,,,,,,,,
Auburndale,34209,34.31260779327078,1.2219006694144816,0.07600339092051799,46.546230524131076,0.035078488117162146,0.6898769329708556,1.7568476132012043,15.361454587973924
Baisley Park,107237,16.145546779563023,36.76716058822981,0.0,19.33847459365704,0.0,3.0026949653571062,2.451579212398706,22.294543860794317
Barren Island-Floyd Bennett Field,26,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,38.46153846153847
Bath Beach,87058,26.528291483838363,18.63929793930483,0.6731144754071998,22.181763881550232,0.19412345792460198,1.6058260010567666,2.8705001263525465,27.30708263456546
Bay Ridge,315431,50.188789307328705,8.307046549007548,0.11920198078185086,13.286899512096149,0.024728070481341402,1.0252638453417704,2.6994810275464363,24.348589707416203
Bay Terrace-Clearview,22112,53.2154486251809,0.949710564399421,0.06783646888567293,29.228473227206948,0.0,0.0,1.4969247467438496,15.041606367583213
Bayside,34159,36.18958400421558,3.094352879182646,0.2634737550865072,48.142510026640124,0.0,0.1258819052079979,1.2031968148950496,10.981000614772094
Bedford Park,98959,5.71448781818733,13.229721399771622,0.23140896735011468,5.555836255418911,0.0,0.7922472943340172,0.937762103497408,73.53853616144059
Bedford-Stuyvesant (East),305889,18.925819496614785,23.507873771204586,0.06505627858471537,6.905446093190667,0.03955683270728924,0.4364328236713318,2.6486732115244416,47.471141492502184
Bedford-Stuyvesant (West),307537,20.95325115351974,17.963041845371453,0.13526827666264546,9.047041494194193,0.022111160608317047,0.477015773711781,1.9919554395080918,49.41031485642378
Bellerose,27423,22.29515370309594,9.112788535171207,0.48134777376654636,41.35579622944244,0.0,1.2288954527221676,2.5671881267549135,22.958830179046785
