NTAName,Population,Weighted Median Income,Below Poverty Line %,EAPop,Bachelor degree,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino,NormalizedSD,Total_NYPD_Complaints,avg_compound_score,norm_compound_score
Allerton,3117.4736842105262,62141.29129524581,24.602712372077544,29883,7.867349329049962,62155,14.763092269326684,38.1690933955434,0.1094039095808865,4.709194755047864,0.0080444051162416,0.933150993484032,2.067412114874105,39.24060815702679,2.7001463137144035,0.06197503597363049,-0.3540327666169319,0.583603968062507
Alley Pond Park,4118.636363636364,107518.289372034,7.142857142857142,39,0.0,90,65.55555555555556,3.333333333333333,0.0,6.666666666666667,0.0,0.0,0.0,24.444444444444443,1.62780346505339,0.7692307692307693,-0.3559935147095451,0.578725451355865
Annadale-Huguenot-Prince's Bay-Woodrow,5090.315789473684,126245.52957111545,5.965246154194704,35230,15.509508941243258,53872,72.77249777249777,7.441713691713692,0.2524502524502524,8.438520938520938,0.0,1.020938520938521,1.522126522126522,8.551752301752302,0.2357619393379988,0.02216860630144763,-0.3888801321516499,0.496900604390224
Arden Heights-Rossville,4266.533333333334,123022.83652614144,4.344109172656176,5547,11.934378943573105,30539,75.48708209175153,0.5337437375159632,0.0654900291430629,7.881725007367628,0.088411539343135,0.1604505714005042,0.8873898948885033,14.895707128589672,0.6276495041492768,0.07643771407968271,-0.402048037030985,0.464137678756217
Astoria (Central),3012.8928571428573,99753.77096051491,10.71738165211324,46478,31.552562502689447,129518,48.18944084992047,12.61986750876326,0.1752652141015148,9.288284253926095,0.0069488410877252,0.4138420914467487,2.672987538411649,26.63336370234253,2.01748657255299,0.037071302551744914,-0.325043933327152,0.6557307792745302
Astoria (East)-Woodside (North),2732.766666666667,83329.77316028933,9.849908746697174,35517,22.98336008108793,198924,46.6439444209849,14.63925921457441,0.0980273873439102,8.410749834107497,0.0105567955601134,0.6570348474794394,2.706058595242404,26.83436890470732,1.6333657686813692,0.05391784216009235,-0.3941496807989015,0.4837894958246064
Astoria (North)-Ditmars-Steinway,2623.655172413793,100673.4654469942,9.38556701030928,47234,23.940381928272007,120686,51.68950831082313,8.316623303448619,0.0861740384137348,11.38823061498434,0.071259300995973,0.290008783123146,2.5172762375089075,25.64091941070215,0.7296255168626895,0.03304822797137655,-0.3745065968573386,0.5326632463792562
Auburndale,2970.1388888888887,100111.9514893617,8.499985776462891,33671,16.379079920406284,34209,34.31260779327078,1.2219006694144816,0.0760033909205179,46.54623052413108,0.0350784881171621,0.6898769329708556,1.7568476132012043,15.361454587973924,0.7669428191517693,0.021739776068426836,-0.3740398749306813,0.5338244922961244
Baisley Park,2532.4,86748.13280879798,11.41450414436389,36797,9.6475256135011,107237,16.145546779563023,36.76716058822981,0.0,19.33847459365704,0.0,3.0026949653571062,2.451579212398706,22.29454386079432,0.8871629689920503,0.06351061227817485,-0.4061831978703334,0.4538490285642762
Barren Island-Floyd Bennett Field,518.0,126299.33333333331,0.0,8,50.0,26,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,38.46153846153847,0.7781384740221065,4.5,-0.2847956552812331,0.7558720965606751
Bath Beach,3038.217391304348,78147.40998010847,15.292715626396545,33580,15.658129839189993,87058,26.528291483838363,18.63929793930483,0.6731144754071998,22.181763881550232,0.1941234579246019,1.6058260010567666,2.8705001263525465,27.30708263456546,2.069301501809029,0.03344252531268612,-0.4298490099234262,0.3949663705052355
Bay Ridge,2806.435897435897,95618.53496085004,11.40179251361959,80127,21.03036429667902,315431,50.18878930732871,8.307046549007548,0.1192019807818508,13.286899512096149,0.0247280704813414,1.0252638453417704,2.6994810275464363,24.348589707416203,0.6901399692085177,0.03836409699601882,-0.393884750587686,0.4844486658966713
Bay Terrace-Clearview,4032.153846153846,114641.7081918425,6.371928046617684,21990,20.995907230559347,22112,53.2154486251809,0.949710564399421,0.0678364688856729,29.228473227206948,0.0,0.0,1.4969247467438496,15.041606367583212,1.0819733735823784,0.014142792178262847,-0.4185476833512264,0.4230850822853971
Bayside,3060.3846153846152,107565.61652632902,8.982731901704671,33904,20.49020764511562,34159,36.18958400421558,3.094352879182646,0.2634737550865072,48.142510026640124,0.0,0.1258819052079979,1.2031968148950496,10.981000614772094,0.6041515205467713,0.029200094384143463,-0.3704849363555724,0.5426694975750231
Bedford Park,5560.333333333333,48778.570327018766,24.827003327874912,56239,7.055601984388058,98959,5.71448781818733,13.229721399771622,0.2314089673501146,5.555836255418911,0.0,0.7922472943340172,0.937762103497408,73.53853616144059,1.7325384127736,0.04475541883746155,-0.3321807622067894,0.6379737104022345
Bedford-Stuyvesant (East),3979.933333333333,72255.78268201031,22.237600671323797,86386,15.364758178408538,305889,18.925819496614785,23.507873771204583,0.0650562785847153,6.905446093190667,0.0395568327072892,0.4364328236713318,2.6486732115244416,47.47114149250218,1.0302410676436893,0.07787141434954738,-0.3320306046509773,0.6383473158375361
Bedford-Stuyvesant (West),4208.190476190476,84855.52517200018,26.024424253328537,82014,17.516521569488138,307537,20.95325115351974,17.963041845371453,0.1352682766626454,9.047041494194191,0.022111160608317,0.477015773711781,1.991955439508092,49.41031485642378,1.152592701087248,0.07267051966737387,-0.3206105754649847,0.6667613703425954
Bellerose,3737.2631578947367,112138.0063373141,7.333404948616034,27643,14.524472741742937,27423,22.29515370309594,9.112788535171209,0.4813477737665463,41.35579622944244,0.0,1.2288954527221676,2.567188126754913,22.958830179046785,0.7689226736570816,0.022067069420829866,-0.3704420195361572,0.5427762784620233
Belmont,5178.227272727273,41149.79990519746,39.61060861566764,33728,4.9217267552182165,57305,17.67385044934997,25.132187418200857,0.0,3.9979059418898872,0.0,0.2460518279382252,2.2214466451444026,50.72855771747666,2.5947575790728625,0.07661290322580645,-0.3157474325153308,0.6788613051664791
Bensonhurst,3503.7735849056603,70545.2338341411,16.83060431146189,97786,14.512302374573046,200697,27.19123853371002,22.28184776055447,0.1828627234089199,24.0785861273462,0.0189340149578718,1.717514462099583,1.884931015411292,22.64408536251165,0.8746459433410005,0.026936371259689527,-0.4433630050113731,0.3613423414632597
