NTAName_x,Total Population,Hispanic,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race
Allerton,29883,16028,9453,7661,247,965,40,10148
Alley Pond Park,39,24,39,0,0,0,0,0
Annadale-Huguenot-Prince's Bay-Woodrow,35230,2457,32421,206,126,1650,17,390
Arden Heights-Rossville,5547,1197,4559,194,17,644,0,75
Astoria (Central),46478,10375,29505,1403,47,8956,0,4741
Astoria (East)-Woodside (North),35517,10114,22777,1755,111,5813,40,3558
Astoria (North)-Ditmars-Steinway,47234,9233,36682,1431,104,5193,0,2335
Astoria Park,0,0,0,0,0,0,0,0
Auburndale,33671,4125,14300,501,31,16572,19,1289
Baisley Park,36797,4506,1533,25953,46,2403,0,5124
Barren Island-Floyd Bennett Field,8,0,8,0,0,0,0,0
Bath Beach,33580,6223,16101,654,141,12736,19,2754
Bay Ridge,80127,14653,55759,2303,390,12693,40,5685
Bay Terrace-Clearview,21990,2998,13514,289,33,6785,0,876
Bayside,33904,3365,14796,1113,38,16438,0,1057
Bedford Park,56239,40879,8950,11396,399,2193,0,31639
Bedford-Stuyvesant (East),86386,13759,15539,57641,392,3326,17,5986
Bedford-Stuyvesant (West),82014,16760,31879,36111,414,3073,120,7158
Bellerose,27643,6112,9761,2484,230,11148,0,2774
Belmont,33728,21168,8187,7548,94,807,0,15946
Bensonhurst,97786,16481,42737,948,333,41580,0,9903
Borough Park,78757,6486,67722,757,124,6166,18,3305
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,21094,2384,18382,826,7,736,0,865
Brighton Beach,30583,3414,23251,293,38,3258,0,2522
Bronx Park,15,5,2,11,0,0,0,2
Brooklyn Heights,23758,1517,18709,1406,44,2057,9,340
Brooklyn Navy Yard,283,27,183,38,0,30,0,22
Brownsville,47971,12180,4593,36268,69,723,43,4491
Bushwick (East),59406,30952,16826,21192,363,2006,48,16680
Bushwick (West),53557,32010,22839,5548,459,3951,12,18798
Calvary & Mount Zion Cemeteries,0,0,0,0,0,0,0,0
Cambria Heights,21032,1351,608,19311,138,85,0,568
Canarsie,82910,5635,5154,71168,74,2446,11,2909
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,55487,10453,34069,10206,257,3621,303,4486
Castle Hill-Unionport,39677,23462,11375,10223,225,4557,0,11466
Central Park,2,1,1,1,0,0,0,0
Chelsea-Hudson Yards,54855,9157,39446,3523,73,8099,21,2109
Chinatown-Two Bridges,35695,6154,4588,3034,205,23742,22,2521
Claremont Park,0,0,0,0,0,0,0,0
Claremont Village-Claremont (East),26167,13797,2564,14457,88,25,26,7978
Clinton Hill,27082,3033,14626,8571,27,1841,4,766
College Point,28404,10898,9566,808,44,8889,75,7675
Concourse-Concourse Village,61126,37773,7852,24726,630,1125,0,24769
Coney Island-Sea Gate,48372,8714,28492,10208,72,3577,6,4527
Corona,53284,34659,20425,7149,353,8918,0,14629
Crotona Park,0,0,0,0,0,0,0,0
Crotona Park East,27953,18107,2800,11117,52,289,11,12695
Crown Heights (North),71030,9215,16556,45323,92,2485,0,3806
Crown Heights (South),39594,2806,14384,22505,13,457,0,1342
Cunningham Park,0,0,0,0,0,0,0,0
Cypress Hills,40908,27655,16920,11894,78,2149,5,8428
Douglaston-Little Neck,25400,2818,13012,759,0,10036,0,902
Downtown Brooklyn-DUMBO-Boerum Hill,24603,3772,15085,3579,155,2923,27,1162
Dyker Beach Park,11,0,0,11,0,0,0,0
Dyker Heights,42554,6294,19339,508,69,18445,22,3271
East Elmhurst,24962,14809,5290,4945,127,3320,6,10364
East Flatbush-Erasmus,38153,3434,3027,31509,42,832,0,1955
East Flatbush-Farragut,31371,2205,782,28543,32,469,0,1063
East Flatbush-Remsen Village,36660,3124,1603,32635,18,246,0,1473
East Flatbush-Rugby,38433,2290,1007,35462,115,425,0,973
East Flushing,27040,5122,5215,940,279,17552,0,2597
East Harlem (North),64762,29958,12487,28293,368,2643,17,18140
East Harlem (South),58553,25361,23479,17268,355,6556,96,9054
East Midtown-Turtle Bay,30744,2002,24728,473,49,4648,0,254
East New York (North),41261,14613,6829,26755,84,594,129,6080
East New York-City Line,34233,10116,6827,20041,125,3721,0,2782
East New York-New Lots,47868,9617,4652,37891,143,472,0,3996
East Village,59921,14967,34865,6457,104,9032,12,7485
East Williamsburg,41861,13602,23649,5160,470,5515,23,5496
Eastchester-Edenwald-Baychester,40819,10139,4209,29694,127,1379,15,4184
Elmhurst,75382,29900,13790,1319,327,38214,0,19996
Far Rockaway-Bayswater,40867,10842,15470,18756,133,1258,38,3883
Ferry Point Park-St. Raymond Cemetery,0,0,0,0,0,0,0,0
Financial District-Battery Park City,46466,3463,33839,1095,144,9125,17,529
Flatbush,60631,12224,11948,36726,84,2758,0,7437
Flatbush (West)-Ditmas Park-Parkville,39988,7642,19443,8112,225,6843,0,4229
Flatlands,70560,6977,12551,49814,194,3633,0,3224
Flushing Meadows-Corona Park,0,0,0,0,0,0,0,0
Flushing-Willets Point,47202,5558,5115,1477,127,35804,35,3342
Fordham Heights,29160,22463,2802,7946,88,243,48,16776
Forest Hills,87668,13033,52820,2290,153,24644,0,2971
Forest Park,0,0,0,0,0,0,0,0
Fort Greene,29117,4721,10679,11859,134,2621,0,2024
Fort Hamilton,1264,153,624,459,0,52,23,1
Fort Totten,0,0,0,0,0,0,0,0
Fort Wadsworth,588,126,467,49,0,18,0,14
Fresh Meadows-Utopia,11994,1788,5525,109,0,5444,0,662
Glen Oaks-Floral Park-New Hyde Park,15702,1099,6413,445,168,7588,51,457
Glendale,35677,14031,30314,949,79,1293,0,2083
Gramercy,26497,1983,19971,1138,0,4493,63,379
Grasmere-Arrochar-South Beach-Dongan Hills,26438,3650,18841,2029,83,3500,49,1126
Gravesend (East)-Homecrest,51364,6683,38084,1205,360,6644,148,3365
Gravesend (South),23000,3382,11540,3021,38,5530,0,2072
Gravesend (West),57692,8057,25599,1124,119,23523,18,5460
Great Kills Park,0,0,0,0,0,0,0,0
Great Kills-Eltingville,54152,5209,50057,508,85,2463,18,630
Green-Wood Cemetery,0,0,0,0,0,0,0,0
Greenpoint,26308,3284,22299,663,40,1052,0,997
Greenwich Village,32189,1957,26301,958,30,3624,0,264
Hamilton Heights-Sugar Hill,52510,25050,15419,16333,237,2003,60,10378
Harlem (North),82712,21612,12592,52600,214,1903,119,11420
Harlem (South),49945,10116,14431,25417,81,3020,34,4515
Hell's Kitchen,27122,4906,16967,1597,469,5605,0,1239
