NTAName,Normalized
Greenpoint,1.204308978949537
Williamsburg,1.4738457352397043
South Williamsburg,2.7969265182200025
East Williamsburg,0.8138774802060631
Brooklyn Heights,4.261340181685852
Downtown Brooklyn-DUMBO-Boerum Hill,1.7923277168703322
Fort Greene,2.4260255755822846
Clinton Hill,2.920263666036966
Brooklyn Navy Yard,4.209178945709374
Bedford-Stuyvesant (West),1.1525927010872479
Bedford-Stuyvesant (East),1.0302410676436893
Bushwick (West),1.8386615275020997
Bushwick (East),1.5229132989392435
The Evergreens Cemetery,7.615947683131153
Cypress Hills,1.7448801147886706
East New York (North),1.5242799784335355
East New York-New Lots,0.9157111743953741
Spring Creek-Starrett City,1.5704715603397965
East New York-City Line,1.349177141131807
Highland Park-Cypress Hills Cemeteries (South),5.25102523260758
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0.699507695311367
Park Slope,1.6469078152615535
Windsor Terrace-South Slope,2.7780858513373365
Sunset Park (West),0.8443695175074855
Sunset Park (Central),2.268193563188011
Green-Wood Cemetery,2.0158826101013716
Prospect Heights,4.124461572154526
Crown Heights (North),1.2010924857777638
Lincoln Terrace Park,35.02201781524295
Crown Heights (South),2.121211948724397
Prospect Lefferts Gardens-Wingate,1.7695471167219903
Bay Ridge,0.6901399692085177
Dyker Heights,1.4608413367341748
Fort Hamilton,5.025712475836815
Dyker Beach Park,4.258357955235566
Bensonhurst,0.8746459433410005
Bath Beach,2.069301501809029
Gravesend (West),1.2572245409492129
Sunset Park (East)-Borough Park (West),3.620546908932566
Borough Park,1.0508150653352129
Kensington,2.434765546442655
Mapleton-Midwood (West),1.3566064925080166
Gravesend (South),1.6464905683273023
Coney Island-Sea Gate,0.8955146722822225
Brighton Beach,3.1360788440627756
Calvert Vaux Park,10.074752003517345
Flatbush,1.7706478038679525
Flatbush (West)-Ditmas Park-Parkville,1.8571916406475277
Midwood,1.3203393164699813
Gravesend (East)-Homecrest,1.219539557396444
Madison,1.5536759303596457
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0.6712628795843776
Ocean Hill,2.1173984173099547
Brownsville,1.3817675327250611
East Flatbush-Erasmus,2.1515573618445463
East Flatbush-Farragut,1.7634741606903537
East Flatbush-Rugby,1.5634822292310442
East Flatbush-Remsen Village,2.313453777030173
Holy Cross Cemetery,9.946824887673388
Flatlands,0.7828589002539339
Marine Park-Mill Basin-Bergen Beach,0.7225517544883588
Canarsie,0.6030588849143644
Marine Park-Plumb Island,0.9829253603942433
McGuire Fields,4.016988047915455
Canarsie Park & Pier,3.6823047382152354
Prospect Park,1.5568108707380184
Barren Island-Floyd Bennett Field,0.7781384740221065
Jamaica Bay (West),1.0700650001198355
Shirley Chisholm State Park,2.3264454121991087
Mott Haven-Port Morris,1.0381623894006904
Melrose,2.4628836673234984
Hunts Point,0.944481366919542
Longwood,2.764906138849242
North & South Brother Islands,45.70824983751665
Morrisania,3.0799949448122415
Claremont Village-Claremont (East),4.255121072610963
Crotona Park East,2.6622318569894126
Crotona Park,6.709794421336556
Concourse-Concourse Village,1.6050511711511666
Highbridge,3.259508478523635
Mount Eden-Claremont (West),3.126140770248052
Yankee Stadium-Macombs Dam Park,15.144097965276995
Claremont Park,22.826196229039216
University Heights (South)-Morris Heights,2.1656307027252613
Mount Hope,3.3536145475358805
Fordham Heights,5.764753432659437
West Farms,3.635133921797727
Tremont,2.6877552940239484
Belmont,2.5947575790728625
University Heights (North)-Fordham,2.3228019772290893
Bedford Park,1.7325384127735999
Norwood,2.7051534788068503
Kingsbridge Heights-Van Cortlandt Village,3.8789155725774593
Kingsbridge-Marble Hill,3.454869347879208
Riverdale-Spuyten Duyvil,0.67539280650352
Soundview-Bruckner-Bronx River,1.3207387277147786
Soundview-Clason Point,1.4029988999611671
Castle Hill-Unionport,1.2930479366213234
Parkchester,4.631619434372247
Soundview Park,5.454712554884031
Westchester Square,2.766976208407637
Throgs Neck-Schuylerville,0.6398905639721623
Pelham Bay-Country Club-City Island,1.204722717114449
Co-op City,1.4640380875085615
Hart Island,8.672185945493744
Ferry Point Park-St. Raymond Cemetery,1.956187593987408
Pelham Parkway-Van Nest,2.7289936631868192
Morris Park,1.5283280834124728
Pelham Gardens,1.4148892171553769
Allerton,2.7001463137144035
Hutchinson Metro Center,3.489721109567253
Williamsbridge-Olinville,1.173721740631739
Eastchester-Edenwald-Baychester,0.7542887768361435
Wakefield-Woodlawn,1.072932214255379
