,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
0,84545,Department of Finance,Parking Ticket Lookup - Ticket or Plate Number Known,Status of a parking ticket. Must know ticket or license plate number.,Department of Finance Parking Ticket Lookup - Ticket or Plate Number Known Status of a parking ticket. Must know ticket or license plate number.,department of finance parking ticket lookup - ticket or plate number known status of a parking ticket. must know ticket or license plate number.,department finance parking vehicles ticket lookup ticket plate number known status parking vehicles ticket must know ticket license plate number,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.1531}"
1,76516,3-1-1 Call Center,Service Request Status - General,Status of most Service Requests filed with 311.,3-1-1 Call Center Service Request Status - General Status of most Service Requests filed with 311.,3-1-1 call center service request status - general status of most service requests filed with 311.,call center service request status general status service requests filed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,60523,Department of Finance,Property Tax Account Assistance and Bill Information,"Help with questions about the property tax bill, also known as the Statement of Account.","Department of Finance Property Tax Account Assistance and Bill Information Help with questions about the property tax bill, also known as the Statement of Account.","department of finance property tax account assistance and bill information help with questions about the property tax bill, also known as the statement of account.","department finance property building tax account assistance bill information help general informations property building tax bill, also known statement account","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}"
3,57674,,Bulk Item Disposal,"Learn how to get rid of bulk items. Schedule, reschedule, cancel, or check the status of a bulk item pickup appointment."," Bulk Item Disposal Learn how to get rid of bulk items. Schedule, reschedule, cancel, or check the status of a bulk item pickup appointment."," bulk item disposal learn how to get rid of bulk items. schedule, reschedule, cancel, or check the status of a bulk item pickup appointment.","bulk item disposal learn get rid bulk items schedule, reschedule, cancel, check status bulk item pickup appointment","{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.25}"
4,57213,,Heat or Hot Water Complaint in a Residential Building,Report a problem with heat or hot water in a residential building., Heat or Hot Water Complaint in a Residential Building Report a problem with heat or hot water in a residential building., heat or hot water complaint in a residential building report a problem with heat or hot water in a residential building.,heat hot water complaint residential building report problem heat hot water residential building,"{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.5994}"
5,55351,,Noise from Neighbor,Report a noisy neighbor., Noise from Neighbor Report a noisy neighbor., noise from neighbor report a noisy neighbor.,noise neighbor report noisy neighbor,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.1779}"
6,55032,,Blocked Driveway,Report a vehicle that is blocking your driveway., Blocked Driveway Report a vehicle that is blocking your driveway., blocked driveway report a vehicle that is blocking your driveway.,blocked driveway report vehicle blocking driveway,"{'neg': 0.54, 'neu': 0.46, 'pos': 0.0, 'compound': -0.5719}"
7,54232,,Parking Ticket or Camera Violation Status,"Look up information about your parking or camera violations and get payment, dispute, and appeal status."," Parking Ticket or Camera Violation Status Look up information about your parking or camera violations and get payment, dispute, and appeal status."," parking ticket or camera violation status look up information about your parking or camera violations and get payment, dispute, and appeal status.","parking vehicles ticket camera violation status look information parking vehicles camera violations get payment, dispute, appeal status","{'neg': 0.399, 'neu': 0.601, 'pos': 0.0, 'compound': -0.8519}"
8,52887,,Service Request Status,Check the status of a Service Request filed with NYC311., Service Request Status Check the status of a Service Request filed with NYC311., service request status check the status of a service request filed with nyc311.,service request status check status service request filed nyc,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,52218,,Apartment Maintenance Complaint,Report a maintenance problem in a privately-owned residential building., Apartment Maintenance Complaint Report a maintenance problem in a privately-owned residential building., apartment maintenance complaint report a maintenance problem in a privately-owned residential building.,apartment maintenance complaint report maintenance problem privatelyowned residential building,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5994}"
