,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores,neg,neu,pos,compound
0,28289,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,Department of Housing Preservation and Development HEAT/HOT WATER ENTIRE BUILDING,department of housing preservation and development heat/hot water entire building,department housing preservation development heat hot water entire building,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
1,18810,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,Department of Housing Preservation and Development HEAT/HOT WATER APARTMENT ONLY,department of housing preservation and development heat/hot water apartment only,department housing preservation development heat hot water apartment,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
2,14628,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Department of Sanitation Request Large Bulky Item Collection Request Large Bulky Item Collection,department of sanitation request large bulky item collection request large bulky item collection,department sanitation waste request large bulky item collection request large bulky item collection,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.4215}",0.189,0.811,0.0,-0.4215
3,8822,New York City Police Department,Noise - Residential,Loud Music/Party,New York City Police Department Noise - Residential Loud Music/Party,new york city police department noise - residential loud music/party,new york city police department noise residential loud music party,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.0,0.769,0.231,0.4019
4,8278,New York City Police Department,Blocked Driveway,No Access,New York City Police Department Blocked Driveway No Access,new york city police department blocked driveway no access,new york city police department blocked driveway access,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2732}",0.231,0.769,0.0,-0.2732
5,5850,New York City Police Department,Noise - Residential,Banging/Pounding,New York City Police Department Noise - Residential Banging/Pounding,new york city police department noise - residential banging/pounding,new york city police department noise residential banging pounding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
6,5198,Department of Transportation,Street Condition,Pothole,Department of Transportation Street Condition Pothole,department of transportation street condition pothole,department transit transportation street condition pothole,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
7,4386,Department of Transportation,Street Light Condition,Street Light Out,Department of Transportation Street Light Condition Street Light Out,department of transportation street light condition street light out,department transit transportation street light condition street light,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
8,3614,New York City Police Department,Illegal Parking,Blocked Hydrant,New York City Police Department Illegal Parking Blocked Hydrant,new york city police department illegal parking blocked hydrant,new york city police department illegal parking vehicles blocked hydrant,"{'neg': 0.416, 'neu': 0.584, 'pos': 0.0, 'compound': -0.6908}",0.416,0.584,0.0,-0.6908
9,3365,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Department of Sanitation Electronics Waste Appointment Ewaste appointment,department of sanitation electronics waste appointment ewaste appointment,department sanitation waste electronics waste appointment ewaste appointment,"{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.6808}",0.483,0.517,0.0,-0.6808
10,3327,New York City Police Department,Derelict Vehicle,With License Plate,New York City Police Department Derelict Vehicle With License Plate,new york city police department derelict vehicle with license plate,new york city police department abandonded vehicle license plate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
11,3242,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,Department of Housing Preservation and Development UNSANITARY CONDITION PESTS,department of housing preservation and development unsanitary condition pests,department housing preservation development unsanitary condition pests,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
12,3115,New York City Police Department,Blocked Driveway,Partial Access,New York City Police Department Blocked Driveway Partial Access,new york city police department blocked driveway partial access,new york city police department blocked driveway partial access,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}",0.208,0.792,0.0,-0.2732
13,3089,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,New York City Police Department Illegal Parking Posted Parking Sign Violation,new york city police department illegal parking posted parking sign violation,new york city police department illegal parking vehicles posted parking vehicles sign violation,"{'neg': 0.382, 'neu': 0.618, 'pos': 0.0, 'compound': -0.7783}",0.382,0.618,0.0,-0.7783
14,3087,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Department of Sanitation Derelict Vehicles Derelict Vehicles,department of sanitation derelict vehicles derelict vehicles,department sanitation waste abandonded vehicles abandonded vehicles,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}",0.318,0.682,0.0,-0.4215
15,2947,Department of Sanitation,Graffiti,Graffiti,Department of Sanitation Graffiti Graffiti,department of sanitation graffiti graffiti,department sanitation waste graffiti graffiti,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",0.412,0.588,0.0,-0.4215
16,2779,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,Department of Housing Preservation and Development UNSANITARY CONDITION MOLD,department of housing preservation and development unsanitary condition mold,department housing preservation development unsanitary condition mold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
17,2609,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,Department of Housing Preservation and Development PAINT/PLASTER CEILING,department of housing preservation and development paint/plaster ceiling,department housing preservation development paint plaster ceiling,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
18,2534,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,Department of Housing Preservation and Development PAINT/PLASTER WALL,department of housing preservation and development paint/plaster wall,department housing preservation development paint plaster wall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
19,2391,New York City Police Department,Noise - Commercial,Loud Music/Party,New York City Police Department Noise - Commercial Loud Music/Party,new york city police department noise - commercial loud music/party,new york city police department noise commercial loud music party,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.0,0.769,0.231,0.4019
20,2226,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Department of Sanitation Sanitation Condition 15 Street Cond/Dump-Out/Drop-Off,department of sanitation sanitation condition 15 street cond/dump-out/drop-off,department sanitation waste sanitation waste condition street cond dumpout dropoff,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.6808}",0.412,0.588,0.0,-0.6808
21,2106,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),Department of Environmental Protection Noise Noise: Construction Before/After Hours (NM1),department of environmental protection noise noise: construction before/after hours (nm1),department environmental protection noise noise construction hours nm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
22,2061,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,Department of Housing Preservation and Development FLOORING/STAIRS FLOOR,department of housing preservation and development flooring/stairs floor,department housing preservation development flooring stairs floor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
23,1939,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),Department of Environmental Protection Water System Leak (Use Comments) (WA2),department of environmental protection water system leak (use comments) (wa2),department environmental protection water system leak use comments wa,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}",0.231,0.769,0.0,-0.34
24,1927,New York City Police Department,Illegal Parking,Blocked Sidewalk,New York City Police Department Illegal Parking Blocked Sidewalk,new york city police department illegal parking blocked sidewalk,new york city police department illegal parking vehicles blocked sidewalk,"{'neg': 0.416, 'neu': 0.584, 'pos': 0.0, 'compound': -0.6908}",0.416,0.584,0.0,-0.6908
25,1829,Department of Transportation,Traffic Signal Condition,Controller,Department of Transportation Traffic Signal Condition Controller,department of transportation traffic signal condition controller,department transit transportation traffic signal condition controller,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
26,1808,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,Department of Housing Preservation and Development WATER LEAK HEAVY FLOW,department of housing preservation and development water leak heavy flow,department housing preservation development water leak heavy flow,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",0.255,0.745,0.0,-0.34
27,1767,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,Department of Housing Preservation and Development DOOR/WINDOW WINDOW FRAME,department of housing preservation and development door/window window frame,department housing preservation development door window window frame,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
28,1714,New York City Police Department,Illegal Parking,Commercial Overnight Parking,New York City Police Department Illegal Parking Commercial Overnight Parking,new york city police department illegal parking commercial overnight parking,new york city police department illegal parking vehicles commercial overnight parking vehicles,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.5574}",0.247,0.753,0.0,-0.5574
29,1665,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,Department of Housing Preservation and Development DOOR/WINDOW DOOR,department of housing preservation and development door/window door,department housing preservation development door window door,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
30,1624,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,Department of Housing Preservation and Development WATER LEAK SLOW LEAK,department of housing preservation and development water leak slow leak,department housing preservation development water leak slow leak,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.5859}",0.444,0.556,0.0,-0.5859
